,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9528,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19065900.0,19065900.0,,1,,,2022-06-13T00:54:00.000Z,26425.41745403278,36475498786.16282,32.8562,-1.53560495,-7.26359802,-12.65954989,-10.31029132,-35.84265217,-33.14201383,503824366636.84357,47.0701,554933766534.69,2022-06-13T00:54:00.000Z,,,,,,2022-06-13 00:54:51.921700
1,1027,Ethereum,ETH,ethereum,5745,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121150292.1865,121150292.1865,,2,,,2022-06-13T00:53:00.000Z,1414.2861956808306,24414797570.156113,15.1063,-2.63245727,-8.01091829,-22.88460638,-30.5355423,-54.67716839,-45.35969535,171341185842.06613,16.0076,171341185842.07,2022-06-13T00:53:00.000Z,,,,,,2022-06-13 00:54:51.921700
2,825,Tether,USDT,tether,34604,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,72293981300.94582,79710622658.21005,,3,,,2022-06-13T00:53:00.000Z,0.9990127813102818,62111285857.07762,26.8592,0.00340734,-0.00504676,-0.02205512,0.0761438,-0.12333341,-0.11550817,72222611331.45139,6.7474,79631930841.75,2022-06-13T00:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-06-13 00:54:51.921700
3,3408,USD Coin,USDC,usd-coin,4387,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53999115742.27371,53999115742.27371,,4,,,2022-06-13T00:53:00.000Z,1.0001811924887163,6266108099.636771,30.7302,-0.01131716,-0.02997072,-0.01985263,-0.04512557,0.0167616,0.03978458,54008899976.443535,5.0458,54008899976.44,2022-06-13T00:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-13 00:54:51.921700
4,1839,BNB,BNB,bnb,947,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,,5,,,2022-06-13T00:53:00.000Z,248.1557409116738,1449881317.2347097,19.8488,-3.39714287,-8.54711781,-18.11545339,-15.92909172,-41.47123816,-33.47067023,40518118613.124214,3.7854,40974671914.74,2022-06-13T00:53:00.000Z,,,,,,2022-06-13 00:54:51.921700
5,4687,Binance USD,BUSD,binance-usd,3834,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17742539878.399254,17742539878.399254,,6,,,2022-06-13T00:53:00.000Z,1.0012506460588355,5950194292.352781,36.7938,0.03153911,0.23504638,-0.04118681,-0.15435527,0.07660204,0.2303117,17764729515.971905,1.6597,17764729515.97,2022-06-13T00:53:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-06-13 00:54:51.921700
6,52,XRP,XRP,xrp,737,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,7,,,2022-06-13T00:54:00.000Z,0.3432424970669085,1426207258.3011603,26.5594,-0.92448634,-4.96252848,-13.96609166,-19.73490085,-52.80949309,-55.65768186,16593406770.816534,1.5502,34324249706.69,2022-06-13T00:54:00.000Z,1839.0,BNB,BNB,bnb,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,2022-06-13 00:54:51.921700
7,2010,Cardano,ADA,cardano,455,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33934048405.593,34512850428.993,,8,,,2022-06-13T00:53:00.000Z,0.4764745395534667,1536302062.8851056,22.9902,-4.83986206,-14.23767874,-18.24242957,-11.15670395,-51.0368495,-40.66668503,16168710089.239975,1.5106,21441354279.91,2022-06-13T00:53:00.000Z,1839.0,BNB,BNB,bnb,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,2022-06-13 00:54:51.921700
8,5426,Solana,SOL,solana,327,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,342076742.75022835,511616946.142289,,9,,,2022-06-13T00:53:00.000Z,30.17533062346516,1497198714.0554097,36.8213,-2.63296605,-11.18172964,-23.71404147,-40.31950321,-71.28870857,-62.88962057,10322278811.08618,0.9644,15438210502.41,2022-06-13T00:53:00.000Z,,,,,,2022-06-13 00:54:51.921700
9,74,Dogecoin,DOGE,dogecoin,484,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,2022-06-13T00:54:00.000Z,0.06279046014251818,782496335.2943457,54.3083,-2.85431984,-10.60784064,-23.40769357,-30.23268581,-55.31484308,-44.75779449,8330458337.849924,0.7807,8330458337.85,2022-06-13T00:54:00.000Z,,,,,,2022-06-13 00:54:51.921700
